feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000080815,5.30383992275573,5.30383992275573,9,0,9,1.0
apoe4_dose,4.6265014102602855,4.6265014102602855,9,0,9,1.0
expr_ENSG00000064687,3.6005967286815195,3.6005967286815195,9,0,9,1.0
expr_ENSG00000030582,-3.481449675438137,3.481449675438137,0,9,9,1.0
expr_ENSG00000005379,3.171776049440716,3.171776049440716,9,0,9,1.0
expr_ENSG00000113108,-3.0290265436532193,3.0290265436532193,0,9,9,1.0
expr_ENSG00000128923,-2.7105820435611534,2.7105820435611534,0,9,9,1.0
expr_ENSG00000154122,2.541352632652095,2.541352632652095,9,0,9,1.0
expr_ENSG00000143801,-2.5121833644971683,2.5121833644971683,0,9,9,1.0
expr_ENSG00000138600,-2.2438208956122545,2.2438208956122545,0,9,9,1.0
expr_ENSG00000003147,2.05901907263228,2.05901907263228,8,0,8,1.0
expr_ENSG00000196549,1.7667653395010698,1.7667653395010698,9,0,9,1.0
expr_ENSG00000151694,1.6928131351598699,1.6928131351598699,9,0,9,1.0
expr_ENSG00000151150,-1.618947326032806,1.618947326032806,0,9,9,1.0
expr_ENSG00000087589,-1.6162169629106928,1.6162169629106928,0,8,8,1.0
expr_ENSG00000127184,1.5621329682512939,1.5621329682512939,9,0,9,1.0
expr_ENSG00000066336,-1.4851621975254463,1.4851621975254463,0,9,9,1.0
apoe4_carrier,-1.4424770091951962,1.4424770091951962,0,6,6,1.0
expr_ENSG00000115825,-1.4189866705946923,1.4189866705946923,0,7,7,1.0
expr_ENSG00000103241,-1.4139652077265408,1.4139652077265408,0,9,9,1.0
expr_ENSG00000138613,-1.390029519347323,1.390029519347323,0,9,9,1.0
expr_ENSG00000196735,1.240370723874027,1.240370723874027,8,0,8,1.0
expr_ENSG00000131042,-1.1979456119524146,1.1979456119524146,0,8,8,1.0
expr_ENSG00000085514,-0.9896425253191157,0.9896425253191157,0,7,7,1.0
expr_ENSG00000108219,-0.9677415992241684,0.9677415992241684,0,8,8,1.0
expr_ENSG00000120899,0.9625167162760305,0.9625167162760305,7,0,7,1.0
expr_ENSG00000249853,-0.9412995034093478,0.9412995034093478,0,7,7,1.0
expr_ENSG00000132432,-0.9263027212376586,0.9263027212376586,0,8,8,1.0
expr_ENSG00000161640,0.8642473438940796,0.8642473438940796,7,0,7,1.0
expr_ENSG00000165029,0.8142446354424984,0.8142446354424984,5,0,5,1.0
expr_ENSG00000108379,0.808847627290497,0.808847627290497,7,0,7,1.0
expr_ENSG00000071051,-0.7850651864137996,0.7850651864137996,0,7,7,1.0
expr_ENSG00000106460,0.7572094661092068,0.7572094661092068,7,0,7,1.0
expr_ENSG00000073921,0.7332598288225116,0.7332598288225116,6,0,6,1.0
expr_ENSG00000165806,-0.7025461813728762,0.7025461813728762,0,7,7,1.0
expr_ENSG00000168421,0.6989399292963535,0.6989399292963535,5,0,5,1.0
expr_ENSG00000219545,0.61775353749884,0.61775353749884,6,0,6,1.0
expr_ENSG00000159640,-0.5870466072514067,0.5870466072514067,0,6,6,1.0
expr_ENSG00000146090,0.554146877025945,0.554146877025945,7,0,7,1.0
expr_ENSG00000161929,0.44315527402731447,0.44315527402731447,5,0,5,1.0
expr_ENSG00000100599,0.3007954050035283,0.44072459986189805,5,1,6,0.8333333333333334
expr_ENSG00000203710,-0.06996263988323818,0.43878556553287695,2,3,5,0.6
expr_ENSG00000103811,0.36940153758972927,0.4236487380721587,3,1,4,0.75
expr_ENSG00000153814,-0.30730827397792615,0.4075285852546458,1,7,8,0.875
expr_ENSG00000198087,0.38564283244831005,0.404304949114537,5,1,6,0.8333333333333334
expr_ENSG00000120885,0.019971281871965618,0.3844538982512693,4,1,5,0.8
expr_ENSG00000140090,-0.38164625474539055,0.38164625474539055,0,4,4,1.0
expr_ENSG00000086289,-0.3773790879427101,0.3773790879427101,0,3,3,1.0
expr_ENSG00000095585,0.27333914093383105,0.37136950709354655,5,1,6,0.8333333333333334
expr_ENSG00000142192,0.3626787974779593,0.3626787974779593,8,0,8,1.0
expr_ENSG00000149927,-0.3552200039976243,0.3552200039976243,0,4,4,1.0
expr_ENSG00000124602,0.34658883341698643,0.3529627394647595,3,1,4,0.75
expr_ENSG00000109684,-0.3081042373876607,0.3463115559971116,1,3,4,0.75
expr_ENSG00000157368,0.2119133700658538,0.3421301521940387,4,1,5,0.8
expr_ENSG00000074266,-0.3300735184951455,0.3300735184951455,0,5,5,1.0
expr_ENSG00000179526,0.12124332702493747,0.30190845395160304,6,1,7,0.8571428571428571
expr_ENSG00000214300,-0.07442622506041532,0.2999588016114003,2,2,4,0.5
expr_ENSG00000148429,-0.28593713973489254,0.28593713973489254,0,4,4,1.0
expr_ENSG00000178573,-0.19214420760758155,0.2778700381223327,2,4,6,0.6666666666666666
expr_ENSG00000168918,0.22136517019469867,0.2610271306391078,4,2,6,0.6666666666666666
expr_ENSG00000073712,-0.23628750892805028,0.23628750892805028,0,4,4,1.0
expr_ENSG00000145901,0.12151675295711224,0.2329813325232266,2,1,3,0.6666666666666666
expr_ENSG00000103507,-0.22763871864948154,0.22763871864948154,0,5,5,1.0
expr_ENSG00000164733,-0.024324991627207346,0.22720025903327684,3,2,5,0.6
expr_ENSG00000127415,-0.22587687607664325,0.22587687607664325,0,3,3,1.0
expr_ENSG00000110079,-0.22355087785030292,0.22355087785030292,0,4,4,1.0
expr_ENSG00000136717,0.20156929398485562,0.21521582645533727,2,1,3,0.6666666666666666
expr_ENSG00000126856,0.16066071957155814,0.2042743314957657,3,1,4,0.75
expr_ENSG00000107679,0.19546326297098748,0.19546326297098748,3,0,3,1.0
expr_ENSG00000028528,-0.1869023964670357,0.1869023964670357,0,3,3,1.0
expr_ENSG00000146904,0.1390738571701159,0.15373135545779568,3,1,4,0.75
expr_ENSG00000137642,0.086295572616576,0.14912305759429711,3,1,4,0.75
expr_ENSG00000197943,-0.14802113519701077,0.14802113519701077,0,2,2,1.0
expr_ENSG00000154734,0.04220826915768917,0.14645897630421653,1,2,3,0.6666666666666666
expr_ENSG00000091536,-0.07164386105354334,0.11513570514201649,1,1,2,0.5
expr_ENSG00000110077,0.06643238745563773,0.11254078294308362,2,1,3,0.6666666666666666
expr_ENSG00000186815,-0.0004147342736325517,0.10726879116380823,1,2,3,0.6666666666666666
expr_ENSG00000167716,0.09518432132916076,0.09518432132916076,2,0,2,1.0
expr_ENSG00000138442,-0.06083311067872013,0.08276244937650216,1,1,2,0.5
expr_ENSG00000125826,-0.01268459337773243,0.08140418957152717,2,1,3,0.6666666666666666
expr_ENSG00000112195,0.016033656186862495,0.07057902743252832,2,2,4,0.5
expr_ENSG00000137845,-0.04839417102038544,0.04839417102038544,0,3,3,1.0
expr_ENSG00000134243,0.01647266635684472,0.01647266635684472,1,0,1,1.0
